,km_10,km_100,km_1000,gmm_10,gmm_100,gmm_1000
96786,0,0,0,0,0,4
97438,0,0,0,0,0,4
93464,0,49,52,0,0,4
104715,0,0,0,0,0,4
106621,0,0,0,0,0,4
112043,0,0,0,0,0,4
103399,0,0,0,0,0,4
84905,0,0,0,0,0,4
2620993,0,0,0,0,0,4
2620991,0,0,0,0,0,4
96081,0,0,0,0,0,4
98845,2,77,78,4,53,25
90668,0,0,0,0,0,4
108731,0,0,0,0,0,4
145903,0,0,0,0,0,4
86401,0,0,0,0,0,4
106952,2,81,39,4,52,81
89009,0,0,0,0,0,4
100584,0,0,0,0,0,4
100588,0,57,55,0,0,4
90467,0,0,0,0,0,4
110180,0,0,0,0,0,4
93179,0,0,0,0,0,4
110238,0,0,0,0,0,4
145732,0,0,0,0,0,4
145733,0,0,0,0,0,4
87259,0,0,0,0,0,4
108888,0,0,0,0,0,4
89901,0,0,0,0,0,4
97709,0,0,0,0,0,4
104016,0,0,0,0,0,4
110885,0,0,0,0,0,4
110882,0,0,0,0,0,4
111421,0,33,67,0,0,4
107955,0,0,0,0,0,4
99912,0,34,17,0,15,34
99919,0,0,0,0,0,4
99918,0,0,0,0,0,4
217702,0,20,20,0,22,21
104792,0,0,0,0,0,4
86801,0,0,0,0,0,4
87047,0,0,0,0,0,4
95590,0,0,0,0,0,4
95592,0,0,0,0,0,4
95626,0,0,0,0,0,4
106103,0,0,0,0,0,4
106455,0,0,0,0,0,4
134741,0,0,0,0,0,4
110103,0,0,0,0,0,4
89560,0,0,0,0,0,4
89564,0,0,0,0,0,4
102459,0,0,0,0,0,4
97686,0,0,0,0,0,4
91128,0,0,0,0,0,4
99455,0,0,0,0,0,4
99456,2,40,81,4,52,81
91782,0,0,0,0,0,4
91783,0,0,0,0,0,4
92470,0,0,0,0,0,4
91879,0,0,0,0,0,4
91877,0,0,0,0,0,4
93787,0,0,0,0,0,4
117898,0,0,0,0,0,4
117896,0,0,0,0,0,4
117891,0,0,0,0,0,4
89768,0,0,0,0,0,4
89765,0,0,0,0,0,4
87777,0,0,0,0,0,4
101243,0,0,0,0,0,4
85242,0,0,0,0,0,4
93232,0,0,0,0,0,4
118497,0,0,0,0,0,4
110379,0,0,0,0,0,4
99368,2,53,59,4,67,67
102177,0,0,0,0,0,4
100181,0,0,0,0,0,4
106417,0,0,0,0,0,4
2513954,0,0,0,0,0,4
103342,0,0,0,0,0,4
95514,0,0,0,0,0,4
89855,0,0,0,0,0,4
97807,0,0,0,0,0,4
92977,0,0,0,0,0,4
93006,0,0,0,0,0,4
107630,0,0,0,0,0,4
108785,2,54,70,4,80,80
101674,0,0,0,0,0,4
87677,0,0,0,0,0,4
87676,0,0,0,0,0,4
88229,0,0,0,0,0,4
96279,0,0,0,0,0,4
97638,0,0,0,0,0,4
95700,0,0,0,0,0,4
91704,0,0,0,0,0,4
106848,0,0,0,0,0,4
98777,0,0,0,0,0,4
98774,0,0,0,0,0,4
98779,0,0,0,0,0,4
104556,0,0,0,0,0,4
104555,0,0,0,0,0,4
99826,0,0,0,0,0,4
106025,0,0,0,0,0,4
118417,0,0,0,0,0,4
110660,0,0,0,0,0,4
89404,0,0,0,0,0,4
87921,0,0,0,0,0,4
93982,0,0,0,0,0,4
94660,0,0,0,0,0,4
94661,0,0,0,0,0,4
94667,0,0,0,0,0,4
92764,0,0,0,0,0,4
110917,0,0,0,0,0,4
101978,0,0,0,0,0,4
102723,0,0,0,0,0,4
108542,0,0,0,0,0,4
88596,0,0,0,0,0,4
100614,0,0,0,0,0,4
84933,4,13,16,2,37,39
97882,0,0,0,0,0,4
117911,0,0,0,0,0,4
2809762,0,0,0,0,0,4
92683,0,0,0,0,0,4
90653,0,0,0,0,0,4
108709,0,0,0,0,0,4
91018,0,0,0,0,0,4
105812,0,0,0,0,0,4
107089,0,0,0,0,0,4
110952,0,0,0,0,0,4
100946,0,0,0,0,0,4
85430,0,0,0,0,0,4
87367,0,0,0,0,0,4
87366,0,0,0,0,0,4
86180,0,0,0,0,0,4
88963,0,0,0,0,0,4
89385,0,0,0,0,0,4
89380,0,0,0,0,0,4
95208,0,0,0,0,0,4
111553,0,0,0,0,0,4
98115,0,0,0,0,0,4
98111,0,0,0,0,0,4
102953,0,0,0,0,0,4
102954,0,0,0,0,0,4
108114,0,0,0,0,0,4
91192,0,0,0,0,0,4
145766,0,0,0,0,0,4
145765,0,0,0,0,0,4
101733,0,0,0,0,0,4
87919,0,0,0,0,0,4
101064,0,0,0,0,0,4
101061,0,0,0,0,0,4
93393,0,0,0,0,0,4
85667,0,0,0,0,0,4
89958,0,0,0,0,0,4
96429,0,0,0,0,0,4
94372,0,0,0,0,0,4
90281,0,0,0,0,0,4
90131,0,0,0,0,0,4
98635,0,0,0,0,0,4
98633,0,66,66,4,61,64
108092,0,0,0,0,0,4
108091,0,0,0,0,0,4
100690,0,0,0,0,0,4
118480,0,0,0,0,0,4
86852,0,29,30,0,31,30
118484,0,0,0,0,0,4
205202,0,0,0,0,0,4
90757,0,0,0,0,0,4
102525,0,0,0,0,0,4
102527,0,0,0,0,0,4
99298,0,0,0,0,0,4
99668,0,0,0,0,0,4
108422,0,0,0,0,0,4
89071,0,0,0,0,0,4
103688,0,0,0,0,0,4
90418,0,0,0,0,0,4
101685,0,0,0,0,0,4
85176,0,0,0,0,0,4
94882,0,0,0,0,0,4
2811849,0,0,0,0,0,4
92831,0,0,0,0,0,4
110288,0,0,0,0,0,4
105688,0,0,0,0,0,4
91112,0,0,0,0,0,4
106567,0,0,0,0,0,4
88695,0,0,0,0,0,4
91800,0,0,0,0,0,4
91805,0,0,0,0,0,4
100242,0,0,0,0,0,4
95079,0,0,0,0,0,4
85200,0,0,0,0,0,4
86556,0,0,0,0,0,4
84847,9,27,2,2,23,36
110585,0,0,0,0,0,4
98014,0,0,0,0,0,4
118132,0,0,0,0,0,4
102855,0,0,0,0,0,4
102851,0,0,0,0,0,4
93931,0,0,0,0,0,4
93938,0,0,0,0,0,4
112099,0,0,0,0,0,4
108017,0,0,0,0,0,4
100162,0,0,0,0,0,4
96144,0,0,0,0,0,4
96309,0,0,0,0,0,4
625711,0,0,0,0,0,4
150542,0,0,0,0,0,4
99210,0,0,0,0,0,4
94798,0,0,0,0,0,4
89801,0,0,0,0,0,4
97853,0,0,0,0,0,4
92329,0,0,0,0,0,4
105512,0,0,0,0,0,4
112114,0,0,0,0,0,4
100557,0,0,0,0,0,4
94806,0,0,0,0,0,4
88990,0,0,0,0,0,4
110170,0,0,0,0,0,4
97648,0,0,0,0,0,4
90918,0,0,0,0,0,4
107831,0,0,0,0,0,4
86072,0,0,0,0,0,4
100273,0,0,0,0,0,4
85036,0,0,0,0,0,4
85038,0,0,0,0,0,4
111106,0,0,0,0,0,4
98986,0,0,0,0,0,4
98980,0,0,0,0,0,4
148483,8,7,8,5,7,7
130154,0,0,0,0,0,4
105200,0,0,0,0,0,4
105203,0,0,0,0,0,4
84963,0,0,0,0,0,4
96815,0,0,0,0,0,4
117927,0,0,0,0,0,4
92907,0,0,0,0,0,4
92904,0,0,0,0,0,4
104319,2,50,51,4,28,54
84824,0,0,0,0,0,4
107683,0,0,0,0,0,4
108757,0,0,0,0,0,4
109485,0,0,0,0,0,4
92594,0,0,0,0,0,4
88911,0,0,0,0,0,4
86172,0,0,0,0,0,4
87497,0,0,0,0,0,4
99312,0,0,0,0,0,4
111697,0,0,0,0,0,4
107720,0,0,0,0,0,4
109830,0,0,0,0,0,4
101493,0,0,0,0,0,4
89967,0,0,0,0,0,4
95941,0,0,0,0,0,4
96413,0,0,0,0,0,4
94301,0,0,0,0,0,4
97457,0,0,0,0,0,4
95164,0,0,0,0,0,4
111225,0,0,0,0,0,4
89064,0,72,56,4,0,4
108592,0,0,0,0,0,4
109641,0,0,0,0,0,4
109764,0,0,0,0,0,4
2649075,0,0,0,0,0,4
97257,0,0,0,0,0,4
88570,0,0,0,0,0,4
89356,0,0,0,0,0,4
94118,0,0,0,0,0,4
110986,0,0,0,0,0,4
85467,0,0,0,0,0,4
105367,0,0,0,0,0,4
104406,0,0,0,0,0,4
104403,0,0,0,0,0,4
87417,0,0,0,0,0,4
90441,0,0,0,0,0,4
95259,0,0,0,0,0,4
104216,0,0,0,0,0,4
98902,0,0,0,0,0,4
91144,0,0,0,0,0,4
117837,0,0,0,0,0,4
85348,2,21,53,4,80,80
87278,0,0,0,0,0,4
86585,0,0,0,0,0,4
86637,0,0,0,0,0,4
89788,0,0,0,0,0,4
103206,0,0,0,0,0,4
97727,0,0,0,0,0,4
91338,0,0,0,0,0,4
98577,0,0,0,0,0,4
87845,0,0,0,0,0,4
108585,0,0,0,0,0,4
1434357,0,0,0,0,0,4
107971,0,0,0,0,0,4
99930,0,0,0,0,0,4
96111,0,0,0,0,0,4
106311,0,0,0,0,0,4
102804,0,0,0,0,0,4
102809,0,0,0,0,0,4
105466,0,0,0,0,0,4
102118,0,0,0,0,0,4
107198,4,4,4,2,30,18
109395,0,0,0,0,0,4
109029,0,0,0,0,0,4
109674,0,0,0,0,0,4
94191,0,0,0,0,0,4
97550,9,2,49,4,50,46
112888,0,0,0,0,0,4
102637,0,43,42,0,13,13
86363,0,0,0,0,0,4
100388,0,0,0,0,0,4
86985,0,0,0,0,0,4
94014,0,0,0,0,0,4
94010,0,0,0,0,0,4
102383,0,0,0,0,0,4
107840,0,0,0,0,0,4
99881,0,0,0,0,0,4
99885,0,0,0,0,0,4
98287,0,0,0,0,0,4
98280,0,0,0,0,0,4
100484,0,0,0,0,0,4
103821,0,0,0,0,0,4
91223,0,0,0,0,0,4
95353,0,0,0,0,0,4
85804,2,70,68,4,78,77
93214,0,0,0,0,0,4
110355,0,0,0,0,0,4
105754,0,0,0,0,0,4
94602,0,0,0,0,0,4
99601,0,0,0,0,0,4
99609,0,0,0,0,0,4
98566,0,0,0,0,0,4
88409,0,0,0,0,0,4
89116,0,0,0,0,0,4
103323,0,0,0,0,0,4
97000,0,0,0,0,0,4
97004,0,0,0,0,0,4
86299,0,0,0,0,0,4
89876,0,0,0,0,0,4
104812,0,0,0,0,0,4
102018,0,0,0,0,0,4
87690,0,0,0,0,0,4
108872,0,0,0,0,0,4
108873,0,0,0,0,0,4
86124,0,0,0,0,0,4
96251,0,0,0,0,0,4
88162,0,0,0,0,0,4
97762,0,0,0,0,0,4
90965,0,0,0,0,0,4
99342,0,0,0,0,0,4
98750,0,0,0,0,0,4
98757,0,0,0,0,0,4
104533,0,0,0,0,0,4
99804,0,0,0,0,0,4
107754,0,0,0,0,0,4
98428,0,0,0,0,0,4
86007,0,0,0,0,0,4
91245,0,0,0,0,0,4
108813,0,0,0,0,0,4
1997012,0,0,0,0,0,4
88778,0,0,0,0,0,4
97795,0,0,0,0,0,4
90286,0,0,0,0,0,4
99554,0,0,0,0,0,4
102268,2,79,79,4,67,67
102266,0,0,0,0,0,4
99688,0,0,0,0,0,4
99682,0,0,0,0,0,4
100315,0,0,0,0,0,4
93992,0,0,0,0,0,4
86215,0,0,0,0,0,4
1754,0,0,0,0,0,4
110017,0,0,0,0,0,4
96153,0,0,0,0,0,4
112520,0,0,0,0,0,4
112523,0,0,0,0,0,4
105838,0,0,0,0,0,4
107069,0,0,0,0,0,4
101039,0,0,0,0,0,4
88058,0,0,0,0,0,4
112924,0,0,0,0,0,4
97909,0,0,0,0,0,4
102359,0,0,0,0,0,4
101237,0,0,0,0,0,4
105979,0,0,0,0,0,4
106435,0,0,0,0,0,4
3187211,0,0,0,0,0,4
1087659,0,0,0,0,0,4
96446,0,0,0,0,0,4
99574,0,0,0,0,0,4
99573,0,0,0,0,0,4
94435,0,0,0,0,0,4
111295,0,0,0,0,0,4
111299,0,0,0,0,0,4
2392165,0,0,0,0,0,4
106326,0,0,0,0,0,4
102834,0,0,0,0,0,4
102785,0,0,0,0,0,4
112035,2,64,64,4,67,67
137740,0,0,0,0,0,4
108349,0,0,0,0,0,4
109691,0,0,0,0,0,4
87877,0,0,0,0,0,4
85561,0,0,0,0,0,4
87051,0,0,0,0,0,4
110094,0,0,0,0,0,4
97502,0,0,0,0,0,4
87533,2,74,34,4,80,80
93618,0,0,0,0,0,4
104086,2,63,63,4,53,25
903979,0,0,0,0,0,4
84764,0,0,0,0,0,4
84766,0,0,0,0,0,4
106170,0,0,0,0,0,4
103040,0,0,0,0,0,4
86316,0,0,0,0,0,4
85155,0,0,0,0,0,4
97983,0,0,0,0,0,4
2781444,2,78,76,4,52,81
94865,0,0,0,0,0,4
89511,9,56,58,4,59,58
2466246,0,0,0,0,0,4
102464,0,0,0,0,0,4
108601,0,0,0,0,0,4
112401,2,58,57,4,52,81
145783,0,0,0,0,0,4
93797,0,0,0,0,0,4
117862,0,0,0,0,0,4
117866,0,0,0,0,0,4
98276,0,0,0,0,0,4
86578,0,0,0,0,0,4
85885,0,0,0,0,0,4
89282,0,0,0,0,0,4
84860,0,0,0,0,0,4
85055,0,0,0,0,0,4
85053,0,0,0,0,0,4
95688,0,0,0,0,0,4
95303,0,0,0,0,0,4
112301,0,0,0,0,0,4
108032,0,0,0,0,0,4
111823,0,0,0,0,0,4
92745,0,0,0,0,0,4
100144,0,0,0,0,0,4
93175,0,0,0,0,0,4
89128,0,0,0,0,0,4
103356,0,0,0,0,0,4
103359,0,0,0,0,0,4
97052,0,0,0,0,0,4
117981,0,0,0,0,0,4
92344,0,0,0,0,0,4
92349,0,0,0,0,0,4
92961,0,0,0,0,0,4
96046,0,0,0,0,0,4
106247,0,0,0,0,0,4
108914,0,0,0,0,0,4
107627,0,0,0,0,0,4
84811,0,0,0,0,0,4
108267,0,0,0,0,0,4
103628,0,0,0,0,0,4
103622,0,0,0,0,0,4
85485,0,0,0,0,0,4
85480,0,0,0,0,0,4
85736,0,0,0,0,0,4
85731,0,0,0,0,0,4
146554,9,59,60,4,59,58
87642,0,0,0,0,0,4
87646,0,0,0,0,0,4
118223,4,39,40,2,4,28
95714,0,0,0,0,0,4
98765,0,0,0,0,0,4
104541,0,0,0,0,0,4
104544,0,0,0,0,0,4
104545,0,0,0,0,0,4
799975,0,0,0,0,0,4
98189,9,32,35,4,59,58
85809,0,0,0,0,0,4
103789,0,0,0,0,0,4
87988,0,0,0,0,0,4
86059,0,0,0,0,0,4
2442451,0,0,0,0,0,4
101434,0,0,0,0,0,4
110922,0,0,0,0,0,4
97290,0,0,0,0,0,4
99659,0,0,0,0,0,4
109344,0,0,0,0,0,4
111242,0,0,0,0,0,4
107371,0,0,0,0,0,4
101231,0,0,0,0,0,4
85218,0,0,0,0,0,4
103611,0,0,0,0,0,4
85215,0,0,0,0,0,4
105267,0,0,0,0,0,4
108574,0,0,0,0,0,4
88213,0,0,0,0,0,4
101574,0,0,0,0,0,4
101570,0,0,0,0,0,4
87466,0,0,0,0,0,4
98802,0,0,0,0,0,4
86338,0,0,0,0,0,4
2409992,0,0,0,0,0,4
1088002,0,0,0,0,0,4
98477,0,0,0,0,0,4
104078,0,0,0,0,0,4
88978,2,11,31,4,79,79
96204,0,0,0,0,0,4
