abbrev,name,count,jurisdiction,citation_abbrev,start_date,end_date,in_use,last_modified,horizontal,vertical
txwb,United States District Court W.D. Texas,435,Federal Bankruptcy,Bankr. W.D. Tex.,Unknown,Unknown,Yes,2013-08-14T17:38,TX,other
utb,United States Bankruptcy Court D. Utah,221,Federal Bankruptcy,Bankr. D. Utah,Unknown,Unknown,Yes,2013-08-14T22:45,UT,other
vtb,United States Bankruptcy Court D. Vermont,343,Federal Bankruptcy,Bankr. D. Vt.,Unknown,Unknown,Yes,2013-08-14T22:43,VT,other
vaeb,United States Bankruptcy Court E.D. Virginia,1113,Federal Bankruptcy,Bankr. E.D. Va.,Unknown,Unknown,Yes,2013-08-14T17:50,VA,other
vawb,United States Bankruptcy Court W.D. Virginia,416,Federal Bankruptcy,Bankr. W.D. Va.,Unknown,Unknown,Yes,2013-08-14T17:29,VA,other
waeb,United States Bankruptcy Court E.D. Washington,53,Federal Bankruptcy,Bankr. E.D. Wash.,Unknown,Unknown,Yes,2013-08-15T09:52,WA,other
wawb,United States Bankruptcy Court W.D. Washington,148,Federal Bankruptcy,Bankr. W.D. Wash.,Unknown,Unknown,Yes,2013-08-15T09:32,WA,other
wvnb,United States District Court N.D. West Virginia,82,Federal Bankruptcy,Bankr. N.D.W. Va.,Unknown,Unknown,Yes,2013-08-14T17:16,WV,other
wvsb,United States Bankruptcy Court S.D. West Virginia,41,Federal Bankruptcy,Bankr. S.D.W. Va.,Unknown,Unknown,Yes,2013-08-15T10:08,WV,other
wieb,United States Bankruptcy Court E.D. Wisconsin,388,Federal Bankruptcy,Bankr. E.D. Wis.,Unknown,Unknown,Yes,2013-08-14T16:59,WI,other
wiwb,United States Bankruptcy Court W.D. Wisconsin,364,Federal Bankruptcy,Bankr. W.D. Wis.,Unknown,Unknown,Yes,2013-08-14T22:27,WI,other
wyb,United States Bankruptcy Court D. Wyoming,39,Federal Bankruptcy,Bankr. D. Wyo.,Unknown,Unknown,Yes,2013-08-15T10:09,WY,other
gub,United States Bankruptcy Court D. Guam,2,Federal Bankruptcy,Bankr. D. Guam,Unknown,Unknown,Yes,2013-08-15T11:08,GU,other
nmib,United States Bankruptcy Court Northern Mariana Islands,0,Federal Bankruptcy,Bankr. N. Mar. I.,Unknown,Unknown,Yes,2013-09-07T14:24,MP,other
prb,United States Bankruptcy Court D. Puerto Rico,152,Federal Bankruptcy,Bankr. D.P.R.,Unknown,Unknown,Yes,2013-08-15T11:07,PR,other
vib,United States Bankruptcy Court D. Virgin Islands,5,Federal Bankruptcy,Bankr. D.V.I.,Unknown,Unknown,Yes,2013-08-15T10:29,VI,other
dcd,District Court District of Columbia,26381,Federal District,D.C.,Unknown,Unknown,Yes,2014-05-19T17:58,DC,other
ald,District Court D. Alabama,0,Federal District,,Unknown,Unknown,Yes,2016-03-16T18:01,AL,other
almd,District Court M.D. Alabama,2266,Federal District,M.D. Ala.,Unknown,Unknown,Yes,2013-08-14T15:23,AL,other
alnd,District Court N.D. Alabama,1247,Federal District,N.D. Ala.,Unknown,Unknown,Yes,2013-08-14T22:35,AL,other
alsd,District Court S.D. Alabama,724,Federal District,S.D. Ala.,Unknown,Unknown,Yes,2013-10-22T08:47,AL,other
akd,District Court D. Alaska,444,Federal District,D. Alaska,Unknown,Unknown,Yes,2013-08-15T10:49,AK,other
azd,District Court D. Arizona,1286,Federal District,D. Ariz.,Unknown,Unknown,Yes,2013-08-14T15:23,AZ,other
ared,District Court E.D. Arkansas,1190,Federal District,E.D. Ark.,Unknown,Unknown,Yes,2013-08-14T15:23,AR,other
arwd,District Court W.D. Arkansas,810,Federal District,W.D. Ark.,Unknown,Unknown,Yes,2013-10-22T08:48,AR,other
californiad,District Court D. California,8,Federal District,D. Cal.,1866-07-27,1886-08-05,Yes,2013-08-14T15:23,CA,other
cacd,District Court C.D. California,3246,Federal District,C.D. Cal.,Unknown,Unknown,Yes,2013-08-19T17:00,CA,other
caed,District Court E.D. California,1258,Federal District,E.D. Cal.,Unknown,Unknown,Yes,2014-06-13T11:53,CA,other
cand,District Court N.D. California,4669,Federal District,N.D. Cal.,Unknown,Unknown,Yes,2013-08-14T15:23,CA,other
casd,District Court S.D. California,1725,Federal District,S.D. Cal.,Unknown,Unknown,Yes,2013-08-14T15:23,CA,other
cod,District Court D. Colorado,3237,Federal District,D. Colo.,Unknown,Unknown,Yes,2013-08-14T15:23,CO,other
ctd,District Court D. Connecticut,4495,Federal District,D. Conn.,Unknown,Unknown,Yes,2013-08-14T15:23,CT,other
ded,District Court D. Delaware,3748,Federal District,D. Del.,Unknown,Unknown,Yes,2013-08-14T15:23,DE,other
fld,District Court D. Florida,0,Federal District,,Unknown,Unknown,Yes,2016-03-16T18:01,FL,other
flmd,District Court M.D. Florida,2998,Federal District,M.D. Fla.,Unknown,Unknown,Yes,2013-08-15T09:43,FL,other
flnd,District Court N.D. Florida,536,Federal District,N.D. Fla.,Unknown,Unknown,Yes,2013-08-15T09:43,FL,other
flsd,District Court S.D. Florida,4193,Federal District,S.D. Fla.,Unknown,Unknown,Yes,2013-08-14T15:23,FL,other
gad,District Court D. Georgia,0,Federal District,,Unknown,Unknown,Yes,2016-03-16T18:01,GA,other
gamd,District Court M.D. Georgia,837,Federal District,,Unknown,Unknown,Yes,2013-08-14T15:23,GA,other
gand,District Court N.D. Georgia,2814,Federal District,N.D. Ga.,Unknown,Unknown,Yes,2013-08-14T15:23,GA,other
gasd,District Court S.D. Georgia,771,Federal District,S.D. Ga.,Unknown,Unknown,Yes,2013-10-22T08:48,GA,other
hid,District Court D. Hawaii,1321,Federal District,D. Haw.,Unknown,Unknown,Yes,2013-08-15T09:58,HI,other
idd,District Court D. Idaho,430,Federal District,D. Idaho,Unknown,Unknown,Yes,2013-08-14T15:23,ID,other
ilcd,District Court C.D. Illinois,1029,Federal District,C.D. Ill.,Unknown,Unknown,Yes,2013-08-14T22:33,IL,other
ilnd,District Court N.D. Illinois,12460,Federal District,N.D. Ill.,Unknown,Unknown,Yes,2013-08-14T15:23,IL,other
ilsd,District Court S.D. Illinois,505,Federal District,S.D. Ill.,Unknown,Unknown,Yes,2013-08-14T15:23,IL,other
illinoised,District Court E.D. Illinois,184,Federal District,E.D. Ill.,3/3/1905,10/2/1978,Yes,2013-10-22T08:49,IL,other
illinoisd,District Court D. Illinois,1,Federal District,D. Ill.,1819-03-03,1855-02-13,Yes,2013-09-07T15:00,IL,other
innd,District Court N.D. Indiana,1829,Federal District,N.D. Ind.,Unknown,Unknown,Yes,2013-08-19T17:50,IN,other
insd,District Court S.D. Indiana,1387,Federal District,S.D. Ind.,Unknown,Unknown,Yes,2013-08-19T17:51,IN,other
indianad,District Court D. Indiana,3,Federal District,D. Ind.,1817-03-03,4/21/1928,Yes,2013-08-14T15:23,IN,other
iad,District Court D. Iowa,0,Federal District,,Unknown,Unknown,Yes,2016-03-16T18:01,IA,other
iand,District Court N.D. Iowa,1230,Federal District,N.D. Iowa,Unknown,Unknown,Yes,2013-08-14T15:23,IA,other
iasd,District Court S.D. Iowa,1165,Federal District,S.D. Iowa,Unknown,Unknown,Yes,2013-10-22T08:49,IA,other
ksd,District Court D. Kansas,4748,Federal District,,Unknown,Unknown,Yes,2013-08-14T15:23,KS,other
kyd,District Court D. Kentucky,0,Federal District,,Unknown,Unknown,Yes,2016-03-16T18:01,KY,other
kyed,District Court E.D. Kentucky,863,Federal District,E.D. Ky.,Unknown,Unknown,Yes,2013-10-22T08:49,KY,other
kywd,District Court W.D. Kentucky,1011,Federal District,W.D. Ky.,Unknown,Unknown,Yes,2013-08-14T15:23,KY,other
lad,District Court D. Louisiana,0,Federal District,,Unknown,Unknown,Yes,2016-03-16T18:01,LA,other
laed,District Court E.D. Louisiana.,2763,Federal District,E.D. La.,Unknown,Unknown,Yes,2013-08-14T15:23,LA,other
lamd,District Court M.D. Louisiana,706,Federal District,M.D. La.,Unknown,Unknown,Yes,2013-08-15T10:47,LA,other
lawd,District Court W.D. Louisiana,1223,Federal District,W.D. La.,Unknown,Unknown,Yes,2013-08-14T15:23,LA,other
orld,District Court Orleans,0,Federal District,,1804-10-01,1812-04-08,Yes,2016-03-16T18:01,other,other
med,District Court D. Maine,2505,Federal District,D. Me.,Unknown,Unknown,Yes,2013-08-14T15:23,ME,other
mdd,District Court D. Maryland,5001,Federal District,D. Maryland,Unknown,Unknown,Yes,2013-08-14T15:23,MD,other
mad,District Court D. Massachusetts,7532,Federal District,D. Mass.,Unknown,Unknown,Yes,2013-08-14T15:23,MA,other
michd,District Court D. Michigan,0,Federal District,,Unknown,Unknown,Yes,2016-03-16T18:01,MI,other
mied,District Court E.D. Michigan,5436,Federal District,E.D. Mich.,Unknown,Unknown,Yes,2013-08-14T15:23,MI,other
miwd,District Court W.D. Michigan,1696,Federal District,,Unknown,Unknown,Yes,2013-10-22T08:50,MI,other
mnd,District Court D. Minnesota,3249,Federal District,D. Minnesota,Unknown,Unknown,Yes,2013-08-14T15:23,MN,other
missd,District Court D. Mississippi,0,Federal District,,Unknown,Unknown,Yes,2016-03-16T18:01,MS,other
msnd,District Court N.D. Mississippi,942,Federal District,N.D. Miss.,Unknown,Unknown,Yes,2013-08-14T15:23,MS,other
mssd,District Court S.D. Mississippi,1696,Federal District,S.D. Miss.,Unknown,Unknown,Yes,2013-10-22T08:50,MS,other
mod,District Court D. Missouri,0,Federal District,,Unknown,Unknown,Yes,2016-03-16T18:01,MO,other
mocd,District Court C.D. Missouri,2,Federal District,C.D. Mo.,Unknown,Unknown,Yes,2013-10-22T08:51,MO,other
moed,District Court E.D. Missouri,2631,Federal District,E.D. Mo.,Unknown,Unknown,Yes,2013-10-22T08:53,MO,other
mowd,District Court W.D. Missouri,1954,Federal District,W.D. Mo.,Unknown,Unknown,Yes,2013-08-14T15:23,MO,other
mosd,District Court S.D. Missouri,2,Federal District,Mo. S.D.,Unknown,Unknown,Yes,2013-10-30T00:51,MO,other
mtd,District Court D. Montana,816,Federal District,D. Mont.,Unknown,Unknown,Yes,2013-08-14T15:23,MT,other
ned,District Court D. Nebraska,1165,Federal District,D. Neb.,Unknown,Unknown,Yes,2013-08-14T15:23,NE,other
nvd,District Court D. Nevada,1221,Federal District,D. Nev.,Unknown,Unknown,Yes,2013-08-14T15:23,NV,other
nhd,District Court D. New Hampshire,912,Federal District,D.N.H.,Unknown,Unknown,Yes,2013-08-14T15:23,NH,other
njd,District Court D. New Jersey,4865,Federal District,D.N.J.,Unknown,Unknown,Yes,2013-08-14T15:23,NJ,other
nmd,District Court D. New Mexico,1084,Federal District,D.N.M.,Unknown,Unknown,Yes,2013-08-14T15:23,NM,other
nyd,District Court D. New York,0,Federal District,,Unknown,Unknown,Yes,2016-03-16T18:01,NY,other
nyed,District Court E.D. New York,7792,Federal District,E.D.N.Y,Unknown,Unknown,Yes,2013-08-14T15:23,NY,other
nynd,District Court N.D. New York,2578,Federal District,,Unknown,Unknown,Yes,2013-10-22T08:53,NY,other
nysd,District Court S.D. New York,26704,Federal District,S.D.N.Y.,Unknown,Unknown,Yes,2013-10-22T08:54,NY,other
nywd,District Court W.D. New York,2924,Federal District,W.D.N.Y.,Unknown,Unknown,Yes,2013-08-14T15:23,NY,other
nced,District Court E.D. North Carolina,1076,Federal District,E.D.N.C.,Unknown,Unknown,Yes,2013-08-14T15:23,NC,other
ncmd,District Court M.D. North Carolina,1083,Federal District,M.D.N.C.,Unknown,Unknown,Yes,2013-08-15T09:24,NC,other
ncwd,District Court W.D. North Carolina,1061,Federal District,W.D.N.C.,Unknown,Unknown,Yes,2013-10-22T08:54,NC,other
ndd,District Court D. North Dakota,606,Federal District,D.N.D.,Unknown,Unknown,Yes,2013-08-15T09:04,ND,other
ncd,District Court D. North Carolina,0,Federal District,,Unknown,Unknown,Yes,2016-03-16T18:01,NC,other
ohnd,District Court N.D. Ohio,3293,Federal District,N.D. Ohio,Unknown,Unknown,Yes,2013-08-14T15:23,OH,other
ohsd,District Court S.D. Ohio,2860,Federal District,S.D. Ohio,Unknown,Unknown,Yes,2013-08-14T15:23,OH,other
ohiod,District Court D. Ohio,3,Federal District,D. Ohio,1803-02-19,1855-02-10,Yes,2013-08-14T15:23,OH,other
oked,District Court E.D. Oklahoma,174,Federal District,E.D. Okla.,Unknown,Unknown,Yes,2013-10-22T08:54,OK,other
oknd,District Court N.D. Oklahoma,485,Federal District,N.D. Okla.,Unknown,Unknown,Yes,2013-08-14T15:23,OK,other
okwd,District Court W.D. Oklahoma,1010,Federal District,W.D. Okla.,Unknown,Unknown,Yes,2013-08-14T15:23,OK,other
ord,District Court D. Oregon,1859,Federal District,D. Or.,Unknown,Unknown,Yes,2013-08-14T15:23,OR,other
paed,District Court E.D. Pennsylvania,10440,Federal District,E.D. Pa.,Unknown,Unknown,Yes,2013-08-14T15:23,PA,other
pamd,District Court M.D. Pennsylvania,2303,Federal District,M.D. Penn.,Unknown,Unknown,Yes,2013-10-22T08:25,PA,other
pawd,District Court W.D. Pennsylvania,3244,Federal District,W.D. Pa.,Unknown,Unknown,Yes,2013-08-14T15:23,PA,other
pennsylvaniad,District Court D. Pennsylvania,8,Federal District,D. Pa.,Unknown,Unknown,Yes,2013-08-19T18:25,PA,other
rid,District Court D. Rhode Island,1556,Federal District,D.R.I.,Unknown,Unknown,Yes,2013-08-14T15:23,RI,other
scd,United States District Court D. South Carolina,1473,Federal District,D.S.C.,Unknown,Unknown,Yes,2013-08-15T10:25,SC,other
southcarolinaed,District Court E.D. South Carolina,181,Federal District,E.D.S.C.,1823-02-21,10/7/1965,Yes,2013-08-14T15:23,SC,other
southcarolinawd,District Court W.D. South Carolina,95,Federal District,W.D.S.C.,1823-02-21,10/7/1965,Yes,2013-10-22T08:55,SC,other
sdd,District Court D. South Dakota,867,Federal District,D.S.D.,Unknown,Unknown,Yes,2013-08-14T15:23,SD,other
tned,District Court E.D. Tennessee,1363,Federal District,E.D. Tenn.,Unknown,Unknown,Yes,2013-10-22T08:55,TN,other
tnmd,District Court M.D. Tennessee,1147,Federal District,M.D. Tenn.,Unknown,Unknown,Yes,2013-10-22T08:25,TN,other
tnwd,District Court W.D. Tennessee,892,Federal District,W.D. Tenn.,Unknown,Unknown,Yes,2013-10-22T08:56,TN,other
tennessed,District Court D. Tennessee,3,Federal District,D. Tenn.,1797-01-31,1839-06-18,Yes,2013-08-14T15:23,TN,other
texd,District Court D. Texas,0,Federal District,,Unknown,Unknown,Yes,2016-03-16T18:01,TX,other
txed,District Court E.D. Texas,1591,Federal District,E.D. Tex.,Unknown,Unknown,Yes,2013-08-14T15:23,TX,other
txnd,District Court N.D. Texas,2412,Federal District,N.D. Tex.,Unknown,Unknown,Yes,2013-08-14T15:23,TX,other
txsd,District Court S.D. Texas,3497,Federal District,S.D. Tex.,Unknown,Unknown,Yes,2013-10-22T08:56,TX,other
txwd,District Court W.D. Texas,1283,Federal District,W.D. Tex.,Unknown,Unknown,Yes,2013-10-22T08:56,TX,other
utd,United States District Court D. Utah,1237,Federal District,D. Utah,Unknown,Unknown,Yes,2013-08-15T09:21,UT,other
vtd,District Court D. Vermont,668,Federal District,D. Vt.,Unknown,Unknown,Yes,2013-08-14T22:50,VT,other
vad,District Court D. Virginia,0,Federal District,,Unknown,Unknown,Yes,2016-03-16T18:01,VA,other
vaed,District Court E.D. Virginia,4530,Federal District,E.D. Va.,Unknown,Unknown,Yes,2013-08-14T15:23,VA,other
vawd,District Court W.D. Virginia,2018,Federal District,W.D. Va.,Unknown,Unknown,Yes,2013-08-14T15:23,VA,other
washd,District Court D. Washington,0,Federal District,,Unknown,Unknown,Yes,2016-03-16T18:01,WA,other
waed,District Court E.D. Washington,437,Federal District,E.D. Wash.,3/2/1905,Unknown,Yes,2013-10-22T08:57,WA,other
wawd,District Court W.D. Washington,1146,Federal District,W.D. Wash.,3/2/1905,Unknown,Yes,2013-10-22T08:57,WA,other
wvad,District Court D. West Virginia,0,Federal District,,Unknown,Unknown,Yes,2016-03-16T18:01,WV,other
wvnd,District Court N.D. West Virginia,466,Federal District,N.D.W. Va.,Unknown,Unknown,Yes,2013-10-22T08:57,WV,other
wvsd,District Court S.D. West Virginia.,1238,Federal District,S.D.W. Va,Unknown,Unknown,Yes,2013-10-22T08:57,WV,other
wisd,District Court D. Wisconsin,0,Federal District,,Unknown,Unknown,Yes,2016-03-16T18:01,WI,other
wied,District Court E.D. Wisconsin,2740,Federal District,D. Wis.,Unknown,Unknown,Yes,2013-10-22T08:57,WI,other
wiwd,District Court W.D. Wisconsin,1181,Federal District,W.D. Wis.,Unknown,Unknown,Yes,2013-10-22T08:58,WI,other
wyd,District Court D. Wyoming,481,Federal District,D. Wyo.,Unknown,Unknown,Yes,2013-08-14T15:23,WY,other
canalzoned,District Court Canal Zone,26,Federal District,D.C.Z.,7/26/1937,3/31/1982,Yes,2013-08-19T19:04,other,other
gud,District Court D. Guam,38,Federal District,D. Guam,Unknown,Unknown,Yes,2013-08-19T17:14,GU,other
nmid,District Court Northern Mariana Islands,16,Federal District,N. Mar. I.,Unknown,Unknown,Yes,2013-08-15T12:41,MP,other
prd,District Court D. Puerto Rico,4054,Federal District,D.P.R.,Unknown,Unknown,Yes,2013-08-15T10:00,PR,other
vid,District Court Virgin Islands,656,Federal District,D.V.I.,Unknown,Unknown,Yes,2013-08-15T10:06,VI,other
ala,Supreme Court of Alabama,16421,State Supreme,Ala.,Unknown,Unknown,Yes,2014-08-08T12:46,AL,supreme
alactapp,Alabama Court of Appeals,550,State Appellate,Ala. Ct. App.,Unknown,1/1/1969,Yes,2013-10-16T12:06,AL,appellate
alacrimapp,Court of Criminal Appeals of Alabama,12238,State Appellate,Ala. Crim. App.,Unknown,Unknown,Yes,2013-09-08T18:12,AL,appellate
alacivapp,Court of Civil Appeals of Alabama,9707,State Appellate,Ala. Civ. App.,Unknown,Unknown,Yes,2013-09-08T18:36,AL,appellate
alaska,Alaska Supreme Court,6116,State Supreme,Alaska,Unknown,Unknown,Yes,2013-08-14T09:46,AK,supreme
alaskactapp,Court of Appeals of Alaska,2039,State Appellate,Alaska Ct. App.,Unknown,Unknown,Yes,2014-09-02T16:00,AK,appellate
ariz,Arizona Supreme Court,6698,State Supreme,Ariz.,Unknown,Unknown,Yes,2013-08-14T09:46,AZ,supreme
arizctapp,Court of Appeals of Arizona,10961,State Appellate,Ariz. Ct. App.,Unknown,Unknown,Yes,2013-10-16T11:58,AZ,appellate
